2010-03-17 00:27:43 Info: Se imprimió una factura A correctamente
2010-03-17 00:27:43 Info: se imprimio una factura A para la mesa 33, mozo 4
2010-03-17 00:27:44 Info: Se envió a imprimir el ticket de la mesa 4, mozo 33. Mesa ID: 7051
2010-03-17 23:14:41 Notice: Notice (8): Undefined index:  controller in [CORE/cake/dispatcher.php, line 408]
2010-03-17 23:14:41 Notice: Notice (8): Undefined index:  controller in [CORE/cake/dispatcher.php, line 132]
2010-03-17 23:21:45 Notice: Notice (8): Undefined index:  controller in [CORE/cake/dispatcher.php, line 408]
2010-03-17 23:21:45 Notice: Notice (8): Undefined index:  controller in [CORE/cake/dispatcher.php, line 132]
2010-03-17 23:35:12 Notice: Notice (8): Undefined variable: paginator in [APP/views/gastos/ajax/add.ctp, line 3]
2010-03-17 23:35:53 Notice: Notice (8): Undefined variable: gastos in [APP/views/gastos/ajax/add.ctp, line 12]
2010-03-17 23:38:38 Notice: Notice (8): Undefined variable: gastos in [APP/views/gastos/ajax/add.ctp, line 12]
2010-03-17 23:39:41 Notice: Notice (8): Undefined variable: gastos in [APP/views/gastos/ajax/add.ctp, line 2]
2010-03-17 23:39:41 Notice: Notice (8): Undefined variable: gastos in [APP/views/gastos/ajax/add.ctp, line 16]
2010-03-17 23:46:50 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 432]
2010-03-17 23:46:50 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 433]
2010-03-17 23:46:50 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 434]
2010-03-17 23:46:50 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 440]
2010-03-17 23:46:50 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 447]
2010-03-17 23:46:50 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 455]
2010-03-17 23:46:50 Notice: Notice (8): Undefined variable: event in [CORE/cake/libs/view/helpers/javascript.php, line 455]
2010-03-17 23:52:02 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 432]
2010-03-17 23:52:02 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 433]
2010-03-17 23:52:03 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 434]
2010-03-17 23:52:03 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 440]
2010-03-17 23:52:03 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 447]
2010-03-17 23:52:03 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 455]
2010-03-17 23:52:03 Notice: Notice (8): Undefined variable: event in [CORE/cake/libs/view/helpers/javascript.php, line 455]
2010-03-17 23:52:03 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 432]
2010-03-17 23:52:03 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 433]
2010-03-17 23:52:03 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 434]
2010-03-17 23:52:03 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 440]
2010-03-17 23:52:03 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 447]
2010-03-17 23:52:03 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 455]
2010-03-17 23:52:03 Notice: Notice (8): Undefined variable: event in [CORE/cake/libs/view/helpers/javascript.php, line 455]
2010-03-17 23:54:54 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 432]
2010-03-17 23:54:54 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 433]
2010-03-17 23:54:54 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 434]
2010-03-17 23:54:54 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 440]
2010-03-17 23:54:54 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 447]
2010-03-17 23:54:54 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 455]
2010-03-17 23:54:54 Notice: Notice (8): Undefined variable: event in [CORE/cake/libs/view/helpers/javascript.php, line 455]
2010-03-17 23:55:13 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 432]
2010-03-17 23:55:13 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 433]
2010-03-17 23:55:13 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 434]
2010-03-17 23:55:13 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 440]
2010-03-17 23:55:13 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 447]
2010-03-17 23:55:13 Notice: Notice (8): Undefined variable: object in [CORE/cake/libs/view/helpers/javascript.php, line 455]
2010-03-17 23:55:13 Notice: Notice (8): Undefined variable: event in [CORE/cake/libs/view/helpers/javascript.php, line 455]
